Date,Time,Open,High,Low,Close,Quantity,Average
10-Apr-2012,,332.60,332.60,328.05,329.85,4443874,0.00
09-Apr-2012,,329.80,332.80,327.45,329.75,2401995,0.00
04-Apr-2012,,334.90,336.00,329.10,330.10,3421688,0.00
03-Apr-2012,,342.00,343.85,335.55,336.80,3515916,0.00
02-Apr-2012,,338.90,342.85,337.75,340.30,1822891,0.00
30-Mar-2012,,334.85,339.20,332.20,337.90,3950569,0.00
29-Mar-2012,,334.60,336.55,325.00,332.15,6334939,0.00
28-Mar-2012,,338.00,340.90,335.15,337.75,3172261,0.00
27-Mar-2012,,333.70,339.40,330.00,338.70,5158500,0.00
26-Mar-2012,,336.00,336.80,326.20,328.85,3449259,0.00
23-Mar-2012,,324.00,340.00,321.10,336.00,7685794,0.00
22-Mar-2012,,333.00,333.80,323.15,323.90,3648471,0.00
21-Mar-2012,,323.55,334.00,322.10,332.85,5826498,0.00
20-Mar-2012,,325.00,326.45,320.65,322.75,4836286,0.00
19-Mar-2012,,331.00,331.35,322.30,325.20,4739013,0.00
16-Mar-2012,,333.00,335.30,327.00,327.55,4397091,0.00
15-Mar-2012,,338.00,338.40,330.10,331.65,3090507,0.00
14-Mar-2012,,341.45,345.80,337.40,338.20,4421099,0.00
13-Mar-2012,,340.20,342.40,336.30,339.05,3788877,0.00
12-Mar-2012,,344.90,344.90,336.65,339.10,2599754,0.00
09-Mar-2012,,334.80,339.80,331.05,338.85,4879306,0.00
07-Mar-2012,,336.00,336.95,327.65,329.65,4506445,0.00
06-Mar-2012,,346.00,351.00,334.35,335.55,3461787,0.00
05-Mar-2012,,348.00,354.90,345.15,349.05,3461073,0.00
03-Mar-2012,,350.90,350.90,348.30,349.40,115327,0.00
02-Mar-2012,,348.90,352.25,344.10,350.40,3724877,0.00
01-Mar-2012,,349.00,350.20,344.00,346.30,2094696,0.00
29-Feb-2012,,343.35,352.35,343.35,350.20,4609791,0.00
28-Feb-2012,,343.00,349.90,339.20,343.25,2671787,0.00
27-Feb-2012,,344.70,347.45,337.50,340.95,3488305,0.00
24-Feb-2012,,345.00,347.20,338.25,342.60,3574357,0.00
23-Feb-2012,,340.60,343.75,333.65,338.70,11599152,0.00
22-Feb-2012,,362.50,362.50,340.15,347.45,11157071,0.00
21-Feb-2012,,350.00,360.50,346.20,358.90,8280037,0.00
17-Feb-2012,,355.00,355.55,347.15,349.60,9397137,0.00
16-Feb-2012,,353.50,356.70,346.00,350.35,7955092,0.00
15-Feb-2012,,346.00,353.00,343.85,349.60,10631921,0.00
14-Feb-2012,,349.00,349.00,341.05,342.35,7382092,0.00
13-Feb-2012,,350.40,351.95,343.60,347.70,7639239,0.00
10-Feb-2012,,351.00,357.40,348.00,349.95,8913185,0.00
09-Feb-2012,,352.75,353.95,344.40,350.10,13701820,0.00
08-Feb-2012,,370.00,370.00,351.40,354.00,23297344,0.00
07-Feb-2012,,390.00,390.50,374.60,378.75,6214900,0.00
06-Feb-2012,,394.00,394.00,385.25,389.05,6051591,0.00
03-Feb-2012,,393.50,400.95,385.60,387.60,16171457,0.00
02-Feb-2012,,367.00,395.45,358.60,385.85,25324272,0.00
01-Feb-2012,,364.80,364.80,356.55,361.30,5671068,0.00
31-Jan-2012,,361.80,370.45,355.00,365.70,4600194,0.00
30-Jan-2012,,372.00,373.90,355.05,357.15,2539948,0.00
27-Jan-2012,,365.95,375.80,358.80,374.60,4671178,0.00
25-Jan-2012,,360.00,364.45,354.10,359.30,4263387,0.00
24-Jan-2012,,354.70,361.60,352.25,356.65,3563730,0.00
23-Jan-2012,,340.05,354.60,340.05,352.15,3034942,0.00
20-Jan-2012,,342.15,346.90,337.65,342.35,3100345,0.00
19-Jan-2012,,339.00,344.60,336.25,340.75,4204639,0.00
18-Jan-2012,,347.40,351.70,343.50,345.45,2158507,0.00
