Ticker,Date/Time,Open,High,Low,Close
NIFTYMIDCAP100,5/20/2016,13065.05,13091.6,12954.1,12970.05
NIFTYMIDCAP100,5/23/2016,13045.9,13063.15,12929.65,12933.8
NIFTYMIDCAP100,5/24/2016,12954.35,12954.35,12811.3,12865.9
NIFTYMIDCAP100,5/25/2016,12945.15,12986.8,12927.75,12977.85
NIFTYMIDCAP100,5/26/2016,13012.5,13119.9,12998.8,13105.45
NIFTYMIDCAP100,5/27/2016,13145.85,13286.15,13144.95,13270.05
NIFTYMIDCAP100,5/30/2016,13319.95,13365.95,13256.2,13335.35
NIFTYMIDCAP100,5/31/2016,13366.6,13366.6,13242.25,13292.65
NIFTYMIDCAP100,6/1/2016,13322.3,13378,13254.85,13271.75
NIFTYMIDCAP100,6/2/2016,13273.55,13344.9,13191.7,13331.1
NIFTYMIDCAP100,6/3/2016,13382.5,13417.8,13239.05,13256.9
NIFTYMIDCAP100,6/6/2016,13291.95,13295.7,13232.85,13254.9
NIFTYMIDCAP100,6/7/2016,13298.7,13364.15,13272.85,13333.2
NIFTYMIDCAP100,6/8/2016,13366.15,13436.65,13355.4,13422.3
NIFTYMIDCAP100,6/9/2016,13458.7,13481.8,13358.9,13380.6
NIFTYMIDCAP100,6/10/2016,13387.5,13478.55,13319.8,13329.95
NIFTYMIDCAP100,6/13/2016,13238.15,13240.7,13146.9,13227.5
NIFTYMIDCAP100,6/14/2016,13267.5,13315.55,13236.95,13302.2
NIFTYMIDCAP100,6/15/2016,13352.05,13403.1,13351,13385.65
NIFTYMIDCAP100,6/16/2016,13392,13408.3,13259.25,13359.4
NIFTYMIDCAP100,6/17/2016,13434.6,13448.25,13301.45,13359.25
NIFTYMIDCAP100,6/20/2016,13270.7,13441.4,13254.45,13427.35
NIFTYMIDCAP100,6/21/2016,13472.4,13503.75,13433.05,13465.9
NIFTYMIDCAP100,6/22/2016,13483.65,13512.1,13399.35,13441.9
NIFTYMIDCAP100,6/23/2016,13453.6,13467.65,13376.1,13456.8
NIFTYMIDCAP100,6/24/2016,13162.25,13297.6,12921.05,13289.35
NIFTYMIDCAP100,6/27/2016,13254.7,13438.3,13254.7,13410.2
NIFTYMIDCAP100,6/28/2016,13453.6,13520.15,13453.6,13495.4
NIFTYMIDCAP100,6/29/2016,13566.9,13685.1,13566.9,13671.3
NIFTYMIDCAP100,6/30/2016,13744.85,13843.5,13744.55,13816.45
NIFTYMIDCAP100,7/1/2016,13871.5,14001.45,13871.5,13973.8
NIFTYMIDCAP100,7/4/2016,14041.6,14124.1,14040.8,14094.3
NIFTYMIDCAP100,7/5/2016,14113.2,14160.2,14064,14122.85
NIFTYMIDCAP100,7/7/2016,14147.05,14183.2,14079.65,14095.35
NIFTYMIDCAP100,7/8/2016,14126.75,14143.85,14017.5,14077.45
