Ticker,Date,Close
MIDCPNIFTY,2020-01-31,4558.07
NIFTY,2020-01-31,11962.1
BANKNIFTY,2020-02-01,29820.9
MIDCPNIFTY,2020-02-01,4427.44
NIFTY,2020-02-01,11661.85
BANKNIFTY,2020-02-03,30023.25
MIDCPNIFTY,2020-02-03,4495.35
NIFTY,2020-02-03,11707.9
BANKNIFTY,2020-02-04,30686.7
MIDCPNIFTY,2020-02-04,4547.97
NIFTY,2020-02-04,11979.65
BANKNIFTY,2020-02-05,31001.95
MIDCPNIFTY,2020-02-05,4606.14
NIFTY,2020-02-05,12089.15
BANKNIFTY,2020-02-06,31304.05
MIDCPNIFTY,2020-02-06,4628.62
NIFTY,2020-02-06,12137.95
BANKNIFTY,2020-02-07,31201.95
MIDCPNIFTY,2020-02-07,4645.5
NIFTY,2020-02-07,12098.35
BANKNIFTY,2020-02-10,31058.15
MIDCPNIFTY,2020-02-10,4589.78
NIFTY,2020-02-10,12031.5
BANKNIFTY,2020-02-11,31300.6
MIDCPNIFTY,2020-02-11,4584.47
NIFTY,2020-02-11,12107.9
BANKNIFTY,2020-02-12,31492.9
MIDCPNIFTY,2020-02-12,4585.38
NIFTY,2020-02-12,12201.2
BANKNIFTY,2020-02-13,31230.25
MIDCPNIFTY,2020-02-13,4568.34
NIFTY,2020-02-13,12174.65
BANKNIFTY,2020-02-14,30834.8
MIDCPNIFTY,2020-02-14,4531.7
NIFTY,2020-02-14,12113.45
BANKNIFTY,2020-02-17,30680.7
MIDCPNIFTY,2020-02-17,4463.51
NIFTY,2020-02-17,12045.8
BANKNIFTY,2020-02-18,30562.5
MIDCPNIFTY,2020-02-18,4446.07
NIFTY,2020-02-18,11992.5
BANKNIFTY,2020-02-19,30838.2
MIDCPNIFTY,2020-02-19,4521.8
NIFTY,2020-02-19,12125.9
BANKNIFTY,2020-02-20,30942.85
MIDCPNIFTY,2020-02-20,4553.96
NIFTY,2020-02-20,12080.85
BANKNIFTY,2020-02-24,30455.1
MIDCPNIFTY,2020-02-24,4466.59
NIFTY,2020-02-24,11829.4
BANKNIFTY,2020-02-25,30432.7
MIDCPNIFTY,2020-02-25,4463.91
NIFTY,2020-02-25,11797.9
BANKNIFTY,2020-02-26,30306.85
MIDCPNIFTY,2020-02-26,4417.16
NIFTY,2020-02-26,11678.5
BANKNIFTY,2020-02-27,30187
MIDCPNIFTY,2020-02-27,4393.35
NIFTY,2020-02-27,11633.3
BANKNIFTY,2020-02-28,29147.15
MIDCPNIFTY,2020-02-28,4239.16
NIFTY,2020-02-28,11201.75
BANKNIFTY,2020-03-02,28868.4
MIDCPNIFTY,2020-03-02,4174.48
NIFTY,2020-03-02,11132.75
BANKNIFTY,2020-03-03,29177.05
MIDCPNIFTY,2020-03-03,4252.96
NIFTY,2020-03-03,11303.3
BANKNIFTY,2020-03-04,28653.7
MIDCPNIFTY,2020-03-04,4201.88
NIFTY,2020-03-04,11251
BANKNIFTY,2020-03-05,28815.35
MIDCPNIFTY,2020-03-05,4212.27
